episode_number,title,url,date,topic,description
S8E6,Is Pornography Actually Harmful?,https://therapyandtheology.transistor.fm/episodes/s8-e6-is-pornography-actually-harmful,"May 8, 2025",Therapy & Theology,"The (sometimes secret) struggle with pornography takes an emotional and spiritual toll on individuals, marriages, and families. It's a multifaceted issue that requires..."
S8E5,"Addiction: Signs, Symptoms, and How To Get Help",https://therapyandtheology.transistor.fm/episodes/s8-e5-addiction-signs-symptoms-and-how-to-get-help,"May 1, 2025",Therapy & Theology,"Addiction is a heartbreaking reality that weighs heavy on loved ones who are affected. But when you're navigating something this complex, how can you know the best way..."
S8E4,The Truth About Narcissism and Borderline Personality Disorder,https://therapyandtheology.transistor.fm/episodes/s8-e4-the-truth-about-narcissism-and-borderline-personality-disorder,"April 24, 2025",Therapy & Theology,"While we don't want to put labels on people, it is important to be aware of certain patterns of behavior. Because the more awareness we have, the better we'll be able ..."
S8E3,Better Reactions Lead to Better Relationships,https://therapyandtheology.transistor.fm/episodes/s8-e3-better-reactions-lead-to-better-relationships,"April 17, 2025",Therapy & Theology,Have you ever wondered why you have different reactions with different people in your life? Maybe it's easy to respond to a friend with love and patience but difficult...
S8E2,How To Deal With Emotional Abuse,https://therapyandtheology.transistor.fm/episodes/s8-e2-how-to-deal-with-emotional-abuse,"April 10, 2025",Therapy & Theology,"Lysa TerKeurst says ""emotional abuse is sometimes both the most overused and underused term"" ... and we couldn't agree more.In this episode, you’ll learn:The hidden ta..."
S8E1,How To Escape the Victim Triangle for Good,https://therapyandtheology.transistor.fm/episodes/s8-e1-how-to-escape-the-victim-triangle-for-good,"April 3, 2025",Therapy & Theology,"You cannot be in a healthy, flourishing relationship with someone who refuses to take responsibility for their own issues. This is why the dynamics and roles of the Vi..."
S7E6,How To Be Brave When You Don’t Feel Brave,https://therapyandtheology.transistor.fm/episodes/s7-e6-how-to-be-brave-when-you-don-t-feel-brave,"October 24, 2024",Therapy & Theology,"Broken trust can make us look at the world with skepticism, resistance and hesitancy. Or broken trust can make us more resilient and brave.We get to choose how we move..."
S7E5,Am I Trying To Control What Is Actually out of My Control?,https://therapyandtheology.transistor.fm/episodes/s7-e5-am-i-trying-to-control-what-is-actually-out-of-my-control,"October 17, 2024",Therapy & Theology,"When you have experienced heartbreak or betrayal, it’s hard not to fall into thought spirals. You may find yourself bracing for impact as you think: If this worst-case..."
S7E4,Are There Some People We Shouldn’t Trust Again?,https://therapyandtheology.transistor.fm/episodes/s7-e4-are-there-some-people-we-shouldn-t-trust-again,"October 10, 2024",Therapy & Theology,"Can I trust this person? This is a big question, especially after a betrayal has occurred.The deeper the wound, the longer the repair will take. But not all repairs ar..."
S7E3,How Can I Trust God When I Don’t Understand What He Allows?,https://therapyandtheology.transistor.fm/episodes/s7-e3-how-can-i-trust-god-when-i-don-t-understand-what-he-allows,"October 3, 2024",Therapy & Theology,"It can be so disillusioning to process things that are breaking our heart, especially when it seems like God is not intervening. Maybe you find yourself asking questio..."
S7E2,What Do I Do With My Trust Issues?,https://therapyandtheology.transistor.fm/episodes/s7-e2-what-do-i-do-with-my-trust-issues,"September 26, 2024",Therapy & Theology,"Not one of us gets to live this life unmarked by hurt, so not one of us gets tolive this life without trust issues. Whether you claim to be someone who naturally strug..."
S7E1,I’m Afraid I’m Being Betrayed,https://therapyandtheology.transistor.fm/episodes/s7-e1-i-m-afraid-i-m-being-betrayed,"September 19, 2024",Therapy & Theology,Betrayal can come in so many different forms. Maybe a friend tells a secret you trusted them with. Or maybe your spouse is making decisions that are breaking your hear...
S6E6,If You’re Afraid To Go to Counseling,https://therapyandtheology.transistor.fm/episodes/s6-e6-if-you-re-afraid-to-go-to-counseling,"April 11, 2024",Therapy & Theology,How can I find the right counselor? Is it OK to take medicine prescribed by a counselor? What if I can't afford counseling right now? It may not be easy putting in the...
S6E5,Can We Control What We Think About?,https://therapyandtheology.transistor.fm/episodes/s6-e5-can-we-control-what-we-think-about,"April 4, 2024",Therapy & Theology,Have you ever wondered why you may anxiously obsess over something? The truth is whatever consumes our thinking deeply affects our quality of life. But can we really c...
S6E4,Why Do I Feel So Angry?,https://therapyandtheology.transistor.fm/episodes/s6-e4-why-do-i-feel-so-angry,"March 28, 2024",Therapy & Theology,"Description:Even if you don't consider yourself an ""angry person,"" we have all experienced situations that get us fired up ... or even fed up. The truth is our feeling..."
S6E3,"Families: The Good, The Bad and The Ugly",https://therapyandtheology.transistor.fm/episodes/s6-e3-families-the-good-the-bad-and-the-ugly,"March 21, 2024",Therapy & Theology,"Description:We don't get to choose the families we are born into, yet we are deeply affected by our family of origin. Whether you're currently working through difficul..."
S6E2,How Do I Talk About Divorce With My Kids?,https://therapyandtheology.transistor.fm/episodes/how-do-i-talk-about-divorce-with-my-kids,"March 14, 2024",Therapy & Theology,"Whether you've gone through it personally or been deeply affected by it, divorce is heartbreaking. It can also be so challenging to navigate conversations and dynamics..."
S6E1,How To Handle Politics and Family,https://therapyandtheology.transistor.fm/episodes/s6-e1-how-to-handle-politics-and-family,"March 7, 2024",Therapy & Theology,"As a Christian, how can we approach challenging situations and conversations in a God-honoring way? How do we balance grace and truth when someone in our community dis..."
S5E7,Why Does God Allow Suffering for Some but Not Others?,https://therapyandtheology.transistor.fm/episodes/why-does-god-allow-suffering-for-some-but-not-others,"November 16, 2023",Therapy & Theology,Have you ever secretly wondered why it feels like some people suffer more than others? Where is God when we're going through a difficult season? And why doesn't He sto...
S5E6,What Do You Believe About God?,https://therapyandtheology.transistor.fm/episodes/s5-e6-what-do-you-believe-about-god,"November 9, 2023",Therapy & Theology,What we believe about God and ourselves matter. That's why this entire season of Therapy & Theology has included tools to help you grow in self-awareness. But the ulti...
S5E5,Knowing Your Attachment Style,https://therapyandtheology.transistor.fm/episodes/s5-e5-knowing-your-attachment-style,"November 2, 2023",Therapy & Theology,Do you know you have an attachment style that was formed from early childhood? Attachment styles influence how we connect with others relationally.Learn from Lysa TerK...
S5E4,Why We Lie and Common Lies We Tell,https://therapyandtheology.transistor.fm/episodes/s5-e4-why-we-lie-and-common-lies-we-tell,"October 26, 2023",Therapy & Theology,"Research reveals that the average person lies at least 1-2 times per day. Why do we do this — even if it's considered a ""white lie""? And what are the most common lies ..."
S5E3,The Enemy of Self-Awareness Is Self-Deception,https://therapyandtheology.transistor.fm/episodes/s5-e3-the-enemy-of-self-awareness-is-self-deception,"October 19, 2023",Therapy & Theology,"When we're blinded by self-deception, we can’t repent, heal, grow and get better. So how can we know how we're actually doing?Learn from Lysa TerKeurst, Dr. Joel Mudda..."
S5E2,What Do You Ultimately Want?,https://therapyandtheology.transistor.fm/episodes/s5-e2-what-do-you-ultimately-want,"October 12, 2023",Therapy & Theology,"Even if we can't see it, there is a motivation driving everything we do and say. How can we identify what we really want and be aware of how it's shaping our daily lif..."
S5E1,Why Do I Do What I Don’t Want To Do?,https://therapyandtheology.transistor.fm/episodes/s5-e1-why-do-i-do-what-i-don-t-want-to-do,"October 5, 2023",Therapy & Theology,"Why we do the things we don't want to do, and how do we overcome falling into the same habits and behaviors?Learn from Lysa TerKeurst, Dr. Joel Muddamalle and Jim Cres..."
S4E7,You Are Worthy of Being Chosen With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e7-you-are-worthy-of-being-chosen,"September 19, 2023",Therapy & Theology,"Doing the hard work of setting boundaries in your relationships will sometimes leave you discouraged, questioning if you're doing the right thing. While you will exper..."
S4E6,How Grief Affects Relationships With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e6-how-grief-affects-relationships,"September 18, 2023",Therapy & Theology,"What if instead of avoiding grief, you could see grief as your friend?In the sixth episode of our miniseries titled ""Boundaries Boot Camp,"" counselor Jim Cress will te..."
S4E5,Signs of Codependency With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e5-signs-of-codependency,"September 15, 2023",Therapy & Theology,"Codependency is one of those ""buzzwords"" that can often be weaponized or overused. What does it really mean, and how can we recognize it?In the fifth episode of our mi..."
S4E4,Why Revisiting the Past Can Help You With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e4-why-revisiting-the-past-can-help-you,"September 14, 2023",Therapy & Theology,"Walk through your past; don't wallow in it. Deal with your past; don't dwell on it.In the fourth episode of our miniseries titled ""Boundaries Boot Camp,"" counselor Jim..."
S4E3,How To Communicate Your Boundaries With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e3-how-to-communicate-your-boundaries,"September 13, 2023",Therapy & Theology,"How can we best prepare ourselves for communicating boundaries so that we can honor ourselves and the other person?In the third episode of our miniseries titled ""Bound..."
S4E2,What if Others Don't Respect My Boundaries? With Jim Cress,https://therapyandtheology.transistor.fm/episodes/s4-e2-what-if-others-dont-respect-my-boundaries,"September 12, 2023",Therapy & Theology,Sometimes the hardest part of setting boundaries is communicating them. What do we do when someone disregards or disrespects our parameters?In the second episode of ou...
